day,pool_balance_eth,pending_liabilities_eth,solvency_ratio,total_premiums_collected_eth,total_payouts_eth,profit_eth,madj_current,m_total_current,premiums_today,payouts_today,net_flow_today,n_claims_submitted,n_claims_approved,avg_payout_eth,patt_current,n_swaps_this_tick,n_swaps_insured,n_attacks_this_tick,avg_loss_eth,tint_today,vbase_today,e_today,term2_today,n_users_active,avg_claim_rate
10,1001.9150319891609,9.215894365756654,108.71598482204396,1017.2668301722035,115.35179818304191,901.9150319891617,0.0,0.2,122.83509520600819,1.2352962283127908,121.5997989776954,4,4,0.30882405707820176,0.03251645342452378,1847,1847,4,0.30882405707820176,8000.0,100.0,0.2,0.02,605,0.014811965480462362
11,1089.3122604190153,121.8065706777679,8.942967972563046,1122.0555811779543,132.74332075894162,989.3122604190127,0.0,0.2,104.78875100575078,17.391522575899714,87.39722842985107,43,43,0.40445401339301407,0.015072310042101753,1848,1848,43,0.40445401339301407,8000.0,100.0,0.2,0.02,617,0.016927739048594924
12,1182.1228252651965,2.578190840473823,458.5086591370965,1215.2295429178275,133.10671765263362,1082.122825265194,0.0,0.2,93.17396173987322,0.36339689369199846,92.81056484618122,1,1,0.3633968936919858,0.001,1873,1873,1,0.3633968936919858,8000.0,100.0,0.2,0.02,629,0.014605323974419129
13,1275.948588085384,28.52062155873024,44.73775529253193,1312.9567901215603,137.0082020361789,1175.9485880853813,0.0,0.2,97.72724720373276,3.9014843835452666,93.82576282018749,12,12,0.32512369862877194,0.001,1956,1956,12,0.32512369862877194,8000.0,100.0,0.2,0.02,641,0.013908483010129232
14,1379.683701085693,16.667902431147485,82.77488464940036,1419.0705998353762,139.3868987496857,1279.6837010856905,0.0,0.2,106.11380971381595,2.3786967135068267,103.73511300030913,4,4,0.5946741783767052,0.009740236593948896,1958,1958,4,0.5946741783767052,8000.0,100.0,0.2,0.02,653,0.01249318693002968
15,1482.5721556902024,50.90324342245018,29.125298429143598,1529.313581492805,146.74142580260462,1382.5721556902004,0.0,0.2,110.2429816574288,7.354527052918911,102.88845460450989,18,18,0.40858483627327435,0.0164900998951671,1936,1936,18,0.40858483627327435,8000.0,100.0,0.2,0.02,666,0.012067537310398167
16,1583.0298623234007,0.0,999.0,1629.7712881260034,146.74142580260462,1483.0298623233987,0.0,0.2,100.45770663319831,0.0,100.45770663319831,0,0,0.0,0.001,2015,2015,0,0.0,8000.0,100.0,0.2,0.02,679,0.01102496821503245
17,1717.3569993052777,3.249444805325335,528.5078227796935,1764.5351085334325,147.17810922815687,1617.3569993052756,0.0,0.2,134.7638204074292,0.43668342555224626,134.32713698187695,2,2,0.21834171277612877,0.025796257073024815,2142,2142,2,0.21834171277612877,8000.0,100.0,0.2,0.02,692,0.010183513698454246
18,1824.289033027937,0.0,999.0,1871.4671422560918,147.17810922815687,1724.289033027935,0.0,0.2,106.9320337226593,0.0,106.9320337226593,0,0,0.0,0.001,2093,2093,0,0.0,8000.0,100.0,0.2,0.02,705,0.009421508229146279
19,1922.382778562379,141.86638044080595,13.550657827380725,1990.1023152732469,167.71953671086928,1822.3827785623776,0.0,0.2,118.63517301715501,20.541427482712407,98.0937455344426,45,45,0.4564761662824964,0.015796656691382173,2065,2065,45,0.4564761662824964,8000.0,100.0,0.2,0.02,719,0.010284431220185514
20,2044.8710413717974,109.13011545541612,18.73791696121871,2127.1379725965926,182.26693122480853,1944.871041371784,0.0,0.2,137.03565732334573,14.547394513939253,122.48826280940648,41,41,0.35481450033998385,0.025656043608261018,2213,2213,41,0.35481450033998385,8000.0,100.0,0.2,0.02,733,0.012202859343467208
21,2156.7314720297077,144.4177893862668,14.933973724394917,2259.0408319458247,202.3093599161297,2056.731472029695,0.0,0.2,131.90285934923213,20.042428691321163,111.86043065791097,51,51,0.3929887978690438,0.017541817280421097,2278,2278,51,0.3929887978690438,8000.0,100.0,0.2,0.02,747,0.012794880265067855
22,2262.1838717586434,39.16514836850372,57.760125162142174,2370.1831684083986,207.99929664976818,2162.1838717586306,0.0,0.2,111.1423364625739,5.68993673363849,105.4523997289354,13,13,0.4376874410491144,0.001,2240,2240,13,0.4376874410491144,8000.0,100.0,0.2,0.02,761,0.012440604231411715
